OctagonalLocation: {id:0, env:{biome:start_village, name:The Village on the Plains, descrip:}, coord:(0, 0)}

OctagonalLocation: {id:1, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, 0)}

OctagonalLocation: {id:2, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, 1)}

OctagonalLocation: {id:3, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(0, 1)}

OctagonalLocation: {id:4, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(1, 1)}

OctagonalLocation: {id:5, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(1, 0)}

OctagonalLocation: {id:6, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(1, -1)}

OctagonalLocation: {id:7, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(0, -1)}

OctagonalLocation: {id:8, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, -1)}

OctagonalLocation: {id:9, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-4, 5)}

OctagonalLocation: {id:10, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(1, 3)}

OctagonalLocation: {id:11, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-2, 0)}

OctagonalLocation: {id:12, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-3, -1)}

OctagonalLocation: {id:13, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-3, -2)}

OctagonalLocation: {id:14, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-6, 3)}

OctagonalLocation: {id:15, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(0, 7)}

OctagonalLocation: {id:16, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-4, 2)}

OctagonalLocation: {id:17, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-6, -1)}

OctagonalLocation: {id:18, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-2, 5)}

OctagonalLocation: {id:19, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-3, 3)}

OctagonalLocation: {id:20, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, 5)}

OctagonalLocation: {id:21, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(2, 5)}

OctagonalLocation: {id:22, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-5, 1)}

OctagonalLocation: {id:23, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-5, 4)}

OctagonalLocation: {id:24, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-5, -1)}

OctagonalLocation: {id:25, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(0, 4)}

OctagonalLocation: {id:26, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, 6)}

OctagonalLocation: {id:27, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-2, 6)}

OctagonalLocation: {id:28, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-3, 6)}

OctagonalLocation: {id:29, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-6, 1)}

OctagonalLocation: {id:30, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(1, 4)}

OctagonalLocation: {id:31, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-3, 1)}

OctagonalLocation: {id:32, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-8, 3)}

OctagonalLocation: {id:33, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(2, 3)}

OctagonalLocation: {id:34, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-7, 2)}

OctagonalLocation: {id:35, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-5, 3)}

OctagonalLocation: {id:36, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-5, -3)}

OctagonalLocation: {id:37, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-4, 4)}

OctagonalLocation: {id:38, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, 3)}

OctagonalLocation: {id:39, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-2, 3)}

OctagonalLocation: {id:40, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-6, 2)}

OctagonalLocation: {id:41, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-4, 1)}

OctagonalLocation: {id:42, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, 4)}

OctagonalLocation: {id:43, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-2, 4)}

OctagonalLocation: {id:44, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-3, 4)}

OctagonalLocation: {id:45, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(2, 1)}

OctagonalLocation: {id:46, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, -3)}

OctagonalLocation: {id:47, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(0, 3)}

OctagonalLocation: {id:48, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(1, 2)}

OctagonalLocation: {id:49, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-2, 1)}

OctagonalLocation: {id:50, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-3, -3)}

OctagonalLocation: {id:51, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-4, 3)}

OctagonalLocation: {id:52, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(1, 5)}

OctagonalLocation: {id:53, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-3, 2)}

OctagonalLocation: {id:54, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(2, 2)}

OctagonalLocation: {id:55, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-2, -1)}

OctagonalLocation: {id:56, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, -2)}

OctagonalLocation: {id:57, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-2, -2)}

OctagonalLocation: {id:58, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-5, 0)}

OctagonalLocation: {id:59, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, 2)}

OctagonalLocation: {id:60, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-2, 2)}

OctagonalLocation: {id:61, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(0, 5)}

OctagonalLocation: {id:62, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-4, 0)}

OctagonalLocation: {id:63, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-1, 7)}

OctagonalLocation: {id:64, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-3, 5)}

OctagonalLocation: {id:65, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-4, -1)}

OctagonalLocation: {id:66, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-4, -2)}

OctagonalLocation: {id:67, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-3, 0)}

OctagonalLocation: {id:68, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-7, 1)}

OctagonalLocation: {id:69, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(-5, 2)}

OctagonalLocation: {id:70, env:{biome:plains, name:Rolling Plains, descrip:}, coord:(0, 2)}

OctagonalLocation: {id:71, env:{biome:mountains, name:Mountains, descrip:}, coord:(2, 0)}

OctagonalLocation: {id:72, env:{biome:lake, name:A Lake, descrip:}, coord:(4, -3)}

OctagonalLocation: {id:73, env:{biome:lake, name:A Lake, descrip:}, coord:(2, -4)}

OctagonalLocation: {id:74, env:{biome:lake, name:A Lake, descrip:}, coord:(3, 0)}

OctagonalLocation: {id:75, env:{biome:lake, name:A Lake, descrip:}, coord:(1, -5)}

OctagonalLocation: {id:76, env:{biome:lake, name:A Lake, descrip:}, coord:(6, 2)}

OctagonalLocation: {id:77, env:{biome:lake, name:A Lake, descrip:}, coord:(3, -3)}

OctagonalLocation: {id:78, env:{biome:lake, name:A Lake, descrip:}, coord:(1, -2)}

OctagonalLocation: {id:79, env:{biome:lake, name:A Lake, descrip:}, coord:(4, 0)}

OctagonalLocation: {id:80, env:{biome:lake, name:A Lake, descrip:}, coord:(5, 5)}

OctagonalLocation: {id:81, env:{biome:lake, name:A Lake, descrip:}, coord:(5, 0)}

OctagonalLocation: {id:82, env:{biome:lake, name:A Lake, descrip:}, coord:(2, -6)}

OctagonalLocation: {id:83, env:{biome:lake, name:A Lake, descrip:}, coord:(3, 2)}

